revenue,orders,sessions,customers,month,conversion_rate
904596.15,491,2133,1914,2024-01,23.01922175339897
802854.34,458,2012,1795,2024-02,22.76341948310139
888857.02,486,2116,1865,2024-03,22.967863894139885
820449.67,461,2057,1857,2024-04,22.41127856101118
824853.58,437,2074,1851,2024-05,21.07039537126326
821460.06,465,2006,1805,2024-06,23.180458624127617
797223.97,460,2096,1880,2024-07,21.946564885496183
917972.7,502,2167,1908,2024-08,23.165666820489157
903900.11,479,2045,1873,2024-09,23.422982885085574
802942.09,455,2153,1906,2024-10,21.13330236878774
771484.47,428,2011,1795,2024-11,21.282943809050224
859574.9,494,2130,1881,2024-12,23.1924882629108
