product_id,revenue,orders,quantity,sessions,conversion_rate
130,35975.880000000005,12,67,29,41.37931034482759
292,33794.75,13,105,41,31.70731707317073
806,32446.56,13,86,32,40.625
49,32122.48,9,85,31,29.03225806451613
453,31456.73,13,66,27,48.148148148148145
696,30775.590000000004,11,108,41,26.82926829268293
175,30099.9,10,85,34,29.411764705882355
686,30001.75,13,104,43,30.23255813953488
634,29627.73,9,75,29,31.03448275862069
755,28377.64,9,75,29,31.03448275862069
134,28171.88,12,79,28,42.857142857142854
386,27778.15,13,95,37,35.13513513513514
60,27387.25,8,92,33,24.242424242424242
83,27357.82,13,99,42,30.952380952380953
715,27114.89,11,109,44,25.0
733,26006.27,8,69,24,33.33333333333333
269,25894.82,10,74,28,35.714285714285715
320,25851.4,10,85,30,33.33333333333333
181,25670.67,5,84,31,16.129032258064516
201,25625.95,10,78,31,32.25806451612903
